Property ID,Locality name,Postal code,price,Type of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,Cadastral income,region
20227393,Lier,2500,269000,apartment,2024.0,2.0,,84.0,,,,,,,,0.0,As new,Not specified,,,,1.0,,Flanders
20227392,Duffel,2570,339000,apartment,,2.0,,99.0,,,,,,,,0.0,,Not specified,,,,1.0,,Flanders
20227391,Duffel,2570,450000,apartment,,2.0,,121.0,,,,,,,,0.0,,Not specified,,,,0.0,,Flanders
20227390,Duffel,2570,349000,apartment,,2.0,,94.0,,,,,,,,0.0,,Not specified,,,,1.0,,Flanders
20227389,Duffel,2570,499000,apartment,,2.0,,139.0,,,,,,,,0.0,,Not specified,,,,1.0,,Flanders
20227388,Duffel,2570,525000,house,,4.0,,231.0,,,,1.0,1.0,,,,,Not specified,,,,1.0,,Flanders
20073288,Antwerpen,2060,255000,house,,3.0,60.0,144.0,1.0,,,,6.0,,2.0,,To be done up,E,498.0,Electric,Non flood zone,1.0,,Flanders
11368277,Tienen,3300,255000,apartment,,2.0,,89.0,1.0,,,,,,3.0,,Just renovated,C,206.0,Gas,Non flood zone,1.0,750.0,Flanders
20100146,Mortsel,2640,260000,apartment,,2.0,,130.0,1.0,,,,,,2.0,,Good,C,251.0,Fuel oil,Non flood zone,1.0,,Flanders
20100148,Mortsel,2640,260000,apartment,,2.0,,130.0,1.0,,,,,,2.0,,Good,C,202.0,Fuel oil,Non flood zone,1.0,,Flanders
20093122,Bressoux,4020,260000,apartment,1996.0,2.0,,88.0,1.0,0.0,,8.0,,,2.0,0.0,Good,B,149.0,Fuel oil,Non flood zone,1.0,852.0,Wallonia
